"id_track";"id_marine";"lat";"lon";"speed";"course";"age";"date_add"
"322263";"711";"40,9154";"139,632";"137";"175";"508";"2016-06-25 00:00:00"
"322264";"711";"40,9366";"141,377";"0";"265";"288";"2016-06-25 00:00:00"
"322265";"829";"41,0328";"139,691";"120";"234";"386";"2016-06-25 00:00:00"
"322266";"711";"41,082";"140,768";"127";"240";"289";"2016-06-25 00:00:00"
"322267";"763";"41,129";"140,715";"172";"176";"95";"2016-06-25 00:00:00"
"322268";"711";"41,11";"140,716";"174";"177";"93";"2016-06-25 00:00:00"
"322269";"843";"41,1212";"140,698";"125";"182";"147";"2016-06-25 00:00:00"
"322270";"766";"41,1263";"140,721";"168";"171";"111";"2016-06-25 00:00:00"
"322271";"711";"41,1688";"141,158";"122";"237";"92";"2016-06-25 00:00:00"
"322272";"725";"41,2301";"140,729";"173";"359";"2";"2016-06-25 00:00:00"
"322273";"754";"41,2485";"140,683";"126";"173";"362";"2016-06-25 00:00:00"
"322274";"718";"41,2582";"140,342";"0";"0";"5";"2016-06-25 00:00:00"
"322275";"837";"41,3803";"140,401";"95";"236";"362";"2016-06-25 00:00:00"
"322276";"711";"41,2645";"140,181";"103";"236";"288";"2016-06-25 00:00:00"
"322277";"729";"41,2768";"140,689";"174";"175";"3";"2016-06-25 00:00:00"
"322278";"861";"41,2771";"140,133";"144";"67";"5";"2016-06-25 00:00:00"
"322279";"831";"41,3071";"140,347";"151";"235";"529";"2016-06-25 00:00:00"
"322280";"864";"41,3273";"140,342";"314";"53";"2";"2016-06-25 00:00:00"
"322281";"858";"41,3352";"140,297";"232";"66";"2";"2016-06-25 00:00:00"
"322282";"823";"41,3391";"140,34";"135";"238";"713";"2016-06-25 00:00:00"
"322283";"716";"41,3477";"140,715";"184";"1";"2";"2016-06-25 00:00:00"
"322284";"846";"41,3684";"140,337";"80";"234";"35";"2016-06-25 00:00:00"
"322285";"719";"41,5958";"140,542";"105";"207";"273";"2016-06-25 00:00:00"
"322286";"711";"41,3748";"140,027";"106";"313";"92";"2016-06-25 00:00:00"
"322287";"857";"41,399";"140,443";"235";"58";"2";"2016-06-25 00:00:00"
"322288";"852";"41,4003";"140,408";"137";"230";"2";"2016-06-25 00:00:00"
"322289";"839";"41,4019";"139,979";"113";"285";"99";"2016-06-25 00:00:00"
"322290";"711";"41,4199";"139,966";"114";"333";"92";"2016-06-25 00:00:00"
"322291";"854";"41,4277";"140,494";"153";"55";"2";"2016-06-25 00:00:00"
"322292";"711";"41,4298";"141,461";"0";"0";"95";"2016-06-25 00:00:00"
"322293";"720";"41,4357";"140,671";"155";"178";"2";"2016-06-25 00:00:00"
"322294";"849";"41,476";"140,602";"132";"48";"2";"2016-06-25 00:00:00"
"322295";"860";"41,4861";"140,439";"146";"45";"5";"2016-06-25 00:00:00"
"322296";"853";"41,4914";"140,542";"124";"231";"2";"2016-06-25 00:00:00"
"322297";"834";"41,501";"141,395";"134";"106";"20";"2016-06-25 00:00:00"
"322298";"851";"41,5039";"140,608";"103";"243";"2";"2016-06-25 00:00:00"
"322299";"863";"41,5324";"141,444";"123";"285";"5";"2016-06-25 00:00:00"
"322300";"856";"41,5943";"140,546";"131";"26";"2";"2016-06-25 00:00:00"
